Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-901586,12601301406,01/30/2020 12:00:00 AM,01/30/2020 06:00:00 AM,02/02/2020 05:52:14 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,U,U3,ROOSEVELT/RAVENNA,65XX BLOCK OF 34TH AVE NE,-122.29165379,47.67669047
2020-040514,12601301026,02/02/2020 04:27:00 AM,,02/02/2020 05:44:22 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,U,U2,UNIVERSITY,47XX BLOCK OF UNIVERSITY WAY NE,-122.313087963,47.66399625
2020-037657,12595588643,01/31/2020 03:09:00 AM,01/31/2020 03:09:00 AM,01/31/2020 05:08:19 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,W,W3,MORGAN,FAUNTLEROY WAY SW / HOLLY PL SW,-122.390001177,47.54442736
2020-036250,12536569104,01/29/2020 08:00:00 PM,01/30/2020 04:00:00 AM,01/30/2020 05:57:13 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D3,SLU/CASCADE,2XX BLOCK OF PONTIUS AVE N,-122.331700196,47.62024125
2020-036242,12535702641,01/30/2020 04:06:00 AM,,01/30/2020 05:40:03 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C3,CENTRAL AREA/SQUIRE PARK,1XX BLOCK OF 30TH AVE E,-122.293491681,47.61952437
2020-032219,12282696038,01/27/2020 03:30:31 AM,01/27/2020 03:40:00 AM,01/27/2020 05:14:43 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,R,R1,NORTH BEACON HILL,17XX BLOCK OF 12TH AVE S,-122.317277214,47.5876874
2020-031198,12248207281,01/25/2020 08:00:00 PM,01/26/2020 06:00:00 AM,01/26/2020 05:51:47 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,6XX BLOCK OF 1ST AVE N,-122.355400414,47.62501526
2020-031201,12248248928,01/26/2020 03:54:00 AM,01/26/2020 06:05:00 AM,01/26/2020 05:16:45 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,E,G,G2,MADRONA/LESCHI,1XX BLOCK OF 26TH AVE S,-122.298924267,47.60126323
2020-029782,12247167989,01/10/2020 07:30:00 AM,01/11/2020 02:00:00 AM,01/25/2020 05:16:58 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,M,M3,DOWNTOWN COMMERCIAL,12XX BLOCK OF 5TH AVE,-122.333430335,47.60833603
2020-026836,12219654892,01/23/2020 01:55:00 AM,,01/23/2020 05:36:37 AM,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,W,K,K1,DOWNTOWN COMMERCIAL,5XX BLOCK OF 5TH AVE,-122.32886096,47.60334108
