Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-044225,12605174036,02/05/2020 01:17:00 AM,02/05/2020 02:21:00 AM,02/05/2020 03:30:55 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,22XX BLOCK OF W RAYE ST,-122.384864805,47.64292734
2020-042846,12603653571,02/04/2020 12:00:00 AM,,02/04/2020 03:10:55 AM,A,PROPERTY,ROBBERY,Robbery,120,E,E,E2,CAPITOL HILL,12XX BLOCK OF E HOWELL ST,-122.316238574,47.61760538
2020-040463,12601235501,02/02/2020 02:35:00 AM,02/02/2020 02:40:00 AM,02/02/2020 03:47:23 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,N,N2,NORTHGATE,1XX BLOCK OF NE 125TH ST,-122.328232531,47.71951899
2020-039237,12598300385,02/01/2020 01:30:00 AM,02/01/2020 02:50:00 AM,02/01/2020 03:34:57 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,E,E1,CAPITOL HILL,E PINE ST / BELLEVUE AVE,-122.326804185,47.61521815
2020-038611,12598251273,01/30/2020 11:00:00 PM,01/31/2020 10:00:00 AM,02/01/2020 03:30:29 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,Q,Q2,QUEEN ANNE,28XX BLOCK OF 4TH AVE W,-122.362201428,47.64537245
2020-039216,12598232589,01/31/2020 10:45:00 PM,02/01/2020 01:40:00 AM,02/01/2020 03:18:12 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B2,FREMONT,NW 39TH ST / 1ST AVE NW,-122.357658115,47.65415054
2020-037629,12595525225,01/31/2020 01:35:48 AM,,01/31/2020 03:34:52 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,E,E,E3,CAPITOL HILL,11XX BLOCK OF HARVARD AVE,-122.321718726,47.61232219
2020-037629,12596044818,01/31/2020 01:35:48 AM,,01/31/2020 03:34:52 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,35B,E,E,E3,CAPITOL HILL,11XX BLOCK OF HARVARD AVE,-122.321718726,47.61232219
2020-033437,12338839870,01/28/2020 01:20:00 AM,,01/28/2020 03:22:59 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K2,PIONEER SQUARE,8XX BLOCK OF OCCIDENTAL AVE S,-122.333268209,47.59678343
2020-033413,12338834469,01/27/2020 09:29:00 PM,01/27/2020 09:35:00 PM,01/28/2020 03:14:53 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,Q,Q2,QUEEN ANNE,12XX BLOCK OF TAYLOR AVE N,-122.346245066,47.63057253
2020-031116,12248129257,01/26/2020 01:50:00 AM,01/26/2020 03:00:00 AM,01/26/2020 03:13:43 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,W,W3,MORGAN,67XX BLOCK OF 35TH AVE SW,-122.376509787,47.54195105
2020-028072,12221291393,01/23/2020 10:25:11 PM,,01/24/2020 03:49:32 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,G,G3,MADRONA/LESCHI,S KING ST / 26TH AVE S,-122.298704287,47.59807781
2020-025389,12190787110,01/21/2020 08:00:00 PM,01/21/2020 10:00:00 PM,01/22/2020 03:40:11 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,U,U2,UNIVERSITY,15TH AVE NE / NE 41ST ST,-122.312110057,47.65681959
2020-025492,12190773961,01/22/2020 02:30:00 AM,01/22/2020 02:30:00 AM,01/22/2020 03:08:42 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,BELLTOWN,WESTERN AVE / ELLIOTT AVE,-122.344771983,47.61117277
2020-022880,12173821668,01/19/2020 09:16:00 PM,01/20/2020 01:26:00 AM,01/20/2020 03:11:12 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E2,CAPITOL HILL,16XX BLOCK OF 12TH AVE,-122.316863517,47.61584806
2020-022880,12173823181,01/19/2020 09:16:00 PM,01/20/2020 01:26:00 AM,01/20/2020 03:11:12 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E2,CAPITOL HILL,16XX BLOCK OF 12TH AVE,-122.316863517,47.61584806
2020-022855,12175477367,01/19/2020 08:48:00 PM,,01/20/2020 03:05:21 AM,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,E,E,E1,CAPITOL HILL,1XX BLOCK OF BROADWAY E,-122.320863694,47.61932364
2020-022855,12173815100,01/19/2020 08:48:00 PM,,01/20/2020 03:05:21 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,E,E,E1,CAPITOL HILL,1XX BLOCK OF BROADWAY E,-122.320863694,47.61932364
2020-900841,12172941349,01/15/2020 03:30:00 AM,01/15/2020 04:30:00 AM,01/19/2020 03:54:43 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U2,UNIVERSITY,47XX BLOCK OF 15TH AVE NE,-122.311951562,47.66398823
2020-900839,12172941008,01/17/2020 09:00:00 PM,01/18/2020 06:35:00 AM,01/19/2020 03:53:56 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E3,CAPITOL HILL,15XX BLOCK OF BELMONT AVE,-122.324465317,47.61465973
2020-900838,12172940615,01/18/2020 02:35:00 AM,01/18/2020 08:35:00 AM,01/19/2020 03:53:03 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,BALLARD SOUTH,60XX BLOCK OF 9TH AVE NW,-122.368734357,47.67271113
2020-900837,12172939951,01/16/2020 08:00:00 PM,01/18/2020 07:00:00 AM,01/19/2020 03:52:13 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E2,CAPITOL HILL,11XX BLOCK OF E PINE ST,-122.317506809,47.61525916
2020-022027,12172936479,01/19/2020 02:04:00 AM,01/19/2020 03:12:00 AM,01/19/2020 03:26:18 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,W,K,K2,PIONEER SQUARE,1XX BLOCK OF S WASHINGTON ST,-122.332224216,47.60088043
2020-021929,12172926519,01/18/2020 11:00:00 PM,,01/19/2020 03:11:05 AM,A,PROPERTY,ROBBERY,Robbery,120,N,J,J2,BALLARD NORTH,15TH AVE NW / NW 85TH ST,-122.376806118,47.69060911
2020-021874,12172915478,01/18/2020 11:30:58 PM,01/19/2020 01:30:00 AM,01/19/2020 03:02:12 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,M,M1,DOWNTOWN COMMERCIAL,12XX BLOCK OF 1ST AVE,-122.337870639,47.60647838
2020-022033,12172918453,01/19/2020 02:06:00 AM,01/19/2020 02:06:00 AM,01/19/2020 03:00:18 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,N,N3,NORTHGATE,100XX BLOCK OF STONE AVE N,-122.341968785,47.70232932
2020-020820,12171958606,01/18/2020 01:30:23 AM,,01/18/2020 03:06:35 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,K,K2,PIONEER SQUARE,14XX BLOCK OF 1ST AVE,-122.339559369,47.60832457
